Region,School LEA number,School Name,Type,Type (Welsh),School Number,Phone Number,Address,Students,Wikipedia URL,Estyn (Schools Inspectorate) URL,School Website
Flintshire,664,Ysgol Maes Hyfryd,Special (with post-16 provision),Not applicable,6647021,01352 792720,Fifth Avenue+Flint+Flintshire++CH6 5QL,119.0,TODO,TODO,TODO
Wrexham,665,Ysgol Cae’r Gwenyn,Nursery,Not applicable,6651007,01978 356177,Prince Charles Road+Wrexham+++LL13 8TH,55.0,TODO,TODO,TODO
Wrexham,665,The Rofft Cp School,"Nursery, Infants & Juniors",English medium,6652076,01978 853116,Wynnstay Lane+Marford+Wrexham++LL12 8LA,226.0,TODO,TODO,TODO
Wrexham,665,Froncysyllte,"Nursery, Infants & Juniors",English medium,6652137,01691 773310,Woodlands Road+Froncysyllte+Llangollen+Wrexham+LL20 7SU,25.0,TODO,TODO,TODO
Wrexham,665,Garth Cp,"Nursery, Infants & Juniors",English medium,6652138,01978 820582,Trevor+Llangollen+Wrexham++LL20 7UY,55.0,TODO,TODO,TODO
Wrexham,665,Ysgol Cynddelw,"Nursery, Infants & Juniors",Dual Stream,6652139,01691 718426,New Road+Glynceiriog+Llangollen++LL20 7HH,90.0,TODO,TODO,TODO
Wrexham,665,Llanarmon Dc School,"Nursery, Infants & Juniors",Welsh medium,6652140,01691 600278,Llanarmon Dyffryn+Ceiriog+Nr Llangollen++LL20 7LF,20.0,TODO,TODO,TODO
Wrexham,665,Ysgol Acrefair,"Nursery, Infants & Juniors",English medium,6652149,01978 820616,Tower View+Acrefair+Wrexham++LL14 3SH,209.0,TODO,TODO,TODO
Wrexham,665,Cefn Mawr C P School,"Nursery, Infants & Juniors",English medium,6652151,01978 820719,Plas Kynaston Lane+Cefn Mawr+Wrexham++LL14 3PY,192.0,TODO,TODO,TODO
Wrexham,665,Ysgol Maes-Y-Llan,"Nursery, Infants & Juniors",English medium,6652160,01978 820991,Maes y Llan Lane+Ruabon+Wrexham++LL14 6AE,149.0,TODO,TODO,TODO
Wrexham,665,Ysgol Min y Ddol,"Nursery, Infants & Juniors",Welsh medium,6652162,01978 820903,Lon Plas Kynmaston+Cefn Mawr+Wrexham++LL14 3PY,115.0,TODO,TODO,TODO
Wrexham,665,Alexandra C P School,"Nursery, Infants & Juniors",English medium,6652173,01978 315120,Park Avenue+Bodhyfryd+Wrexham++LL12 7AZ,377.0,TODO,TODO,TODO
Wrexham,665,Brynteg C P School,"Nursery, Infants & Juniors",English medium,6652176,01978 756398,Maesteg+Brynteg+Wrexham++LL11 6NB,187.0,TODO,TODO,TODO
Wrexham,665,Bwlchgwyn School,"Nursery, Infants & Juniors",English medium,6652178,01978 757743,Brymbo Road+Bwlchgwyn+Wrexham++LL11 5UA,111.0,TODO,TODO,TODO
Wrexham,665,Ysgol Tan-y-Fron,"Nursery, Infants & Juniors",English medium,6652179,01978 758118,Tanyfron Road+Tanyfron+Wrexham++LL11 5SA,146.0,TODO,TODO,TODO
Wrexham,665,Black Lane C P School,"Nursery, Infants & Juniors",English medium,6652187,01978 757959,Long Lane+Pentre Broughton+Wrexham++LL11 6BT,148.0,TODO,TODO,TODO
Wrexham,665,Rhosddu County Primary,"Nursery, Infants & Juniors",English medium,6652191,01978 318830,Price's Lane+Rhosddu+Wrexham++LL11 2NB,288.0,TODO,TODO,TODO
Wrexham,665,Rhostyllen Cp School,"Nursery, Infants & Juniors",English medium,6652200,01978 352357,School Street+Rhostyllen+Wrexham++LL14 4AN,222.0,TODO,TODO,TODO
Wrexham,665,Ysgol Deiniol C P,"Nursery, Infants & Juniors",English medium,6652204,01978 353760,The Ridgeway+Marchwiel+Wrexham++LL13 0SB,172.0,TODO,TODO,TODO
Wrexham,665,Barker's Lane Cp,"Nursery, Infants & Juniors",English medium,6652208,01978 357754,Barker's Lane+Wrexham+++LL13 9UN,237.0,TODO,TODO,TODO
Wrexham,665,Wat's Dyke County Primary,"Nursery, Infants & Juniors",English medium,6652209,01978 355731,Garden Village+Wrexham+++LL11 2TE,305.0,TODO,TODO,TODO
Wrexham,665,Ysgol Bryn Tabor,"Nursery, Infants & Juniors",Welsh medium,6652224,01978 722180,Heol Maelor+Coedpoeth+Wrecsam++LL11 3NB,241.0,TODO,TODO,TODO
Wrexham,665,Ysgol Sant Dunawd,"Nursery, Infants & Juniors",English medium,6652232,01978 780757,Sandown Road+Bangor-On-Dee+Wrexham++LL13 0JA,91.0,TODO,TODO,TODO
Wrexham,665,Holt C.P. School,"Nursery, Infants & Juniors",English medium,6652235,01829 270021,Chapel Street+Holt+Wrexham++LL13 9DJ,58.0,TODO,TODO,TODO
Wrexham,665,Ysgol Bodhyfryd,"Nursery, Infants & Juniors",Welsh medium,6652238,01978 351168,Range Road+Wrexham+++LL13 7DA,330.0,TODO,TODO,TODO
Wrexham,665,Ysgol I.D. Hooson,"Nursery, Infants & Juniors",Welsh medium,6652259,01978 832950,Heol Caradoc+Pentredwr+Rhos+Wrexham+LL14 2DX,246.0,TODO,TODO,TODO
Wrexham,665,Ysgol Plas Coch,"Nursery, Infants & Juniors",Welsh medium,6652263,01978 311198,Ffordd Stansty+Plas Coch+Wrexham++LL11 2BU,298.0,TODO,TODO,TODO
Wrexham,665,Penygelli C P School,"Nursery, Infants & Juniors",English medium,6652266,01978 722160,Heol Glyndwr+Coedpoeth+Wrexham++LL11 3HA,287.0,TODO,TODO,TODO
Wrexham,665,Ysgol Penrhyn New Broughton Cp,"Nursery, Infants & Juniors",English medium,6652267,01978 756926,School Lane+New Broughton+Wrexham++LL11 6SF,215.0,TODO,TODO,TODO
Wrexham,665,Ysgol Heulfan,"Nursery, Infants & Juniors",English medium,6652268,01978 722040,Sunny View+Gwersylit+Wrexham++LL11 4HS,347.0,TODO,TODO,TODO
Wrexham,665,Hafod Y Wern Community Primary School,"Nursery, Infants & Juniors",English medium,6652269,01978 367080,Deva Way+Caia Park+Wrexham++LL13 9HD,288.0,TODO,TODO,TODO
Wrexham,665,Gwenfro Community Primary,"Nursery, Infants & Juniors",English medium,6652270,01978 340380,Queensway+Wrexham+++LL13 8UW,324.0,TODO,TODO,TODO
Wrexham,665,Park Community Primary School Llay,"Nursery, Infants & Juniors",English medium,6652271,01978 859100,School Road+Llay+Wrexham++LL12 0TR,331.0,TODO,TODO,TODO
Wrexham,665,Rhosymedre Community Primary,"Nursery, Infants & Juniors",English medium,6652272,01978 812510,Parc Road+Rhosymedre+Wrexham++LL14 3EG,236.0,TODO,TODO,TODO
Wrexham,665,Ysgol Maes y Mynydd,"Nursery, Infants & Juniors",English medium,6652273,01978 832970,Pentredwr+Rhosllanerchrugog+Wrexham++LL14 1DD,296.0,TODO,TODO,TODO
Wrexham,665,Gwersyllt Community Primary School,"Nursery, Infants & Juniors",English medium,6652274,01978 269520,Dodds Lane+Gwersyllt+Wrexham++LL11 4NT,245.0,TODO,TODO,TODO
Wrexham,665,Penycae Community Primary School,"Nursery, Infants & Juniors",English medium,6652275,01978 840509,Afoneitha Road+Penycae+Wrexham++LL14 2PF,206.0,TODO,TODO,TODO
Wrexham,665,Acton Primary,"Nursery, Infants & Juniors",English medium,6652276,01978 318950,Box Lane+Wrexham+++LL12 8BT,353.0,TODO,TODO,TODO
Wrexham,665,Victoria Community Primary,"Nursery, Infants & Juniors",English medium,6652277,01978 360060,Poyster Street+Wrexham+++LL13 7RP,445.0,TODO,TODO,TODO
Wrexham,665,Ysgol y Waun,"Nursery, Infants & Juniors",English medium,6652278,01691 770530,Lloyds Lane+Chirk+Wrexham++LL14 5NH,325.0,TODO,TODO,TODO
Wrexham,665,Ysgol Bro Alun,"Nursery, Infants & Juniors",Welsh medium,6652279,01978 269580,Delamere Avenue+Gwersyllt+Wrexham++LL11 4NG,279.0,TODO,TODO,TODO
Wrexham,665,Ysgol Yr Hafod,"Nursery, Infants & Juniors",English medium,6652280,01978 840643, BANGOR ROAD+JOHNSTOWN+Wrexham++LL14 2SW,338.0,TODO,TODO,TODO
Wrexham,665,Borras Park Community Primary School,"Nursery, Infants & Juniors",English medium,6652281,01978 346890, BORRAS PARK ROAD+Borras Park+Wrexham++LL12 7TH,455.0,TODO,TODO,TODO
Wrexham,665,Ysgol Llan-y-pwll,"Nursery, Infants & Juniors",Welsh medium,6652282,,Ysgol Llan-y-pwll+Borras Park Road++Wrexham+LL12 7TH,14.0,TODO,TODO,TODO
Wrexham,665,St Peter's School,"Nursery, Infants & Juniors",English medium,6653028,01244 570594,Chapel Lane+Rossett+Wrexham++LL12 0EE,205.0,TODO,TODO,TODO
Wrexham,665,Pentre Ciw Voluntary Controlled,"Nursery, Infants & Juniors",English medium,6653036,01691 773322,Pentre+Chirk+Wrexham++LL14 5AW,55.0,TODO,TODO,TODO
Wrexham,665,Eyton Primary School,"Nursery, Infants & Juniors",English medium,6653042,01978 823392,Bangor Road+Eyton+Wrexham++LL13 0YD,60.0,TODO,TODO,TODO
Wrexham,665,Borderbrook School,"Nursery, Infants & Juniors",English medium,6653054,01948 770676,Talwrn Green+Malpas+Willington+Wrexham+SY14 7LJ,16.0,TODO,TODO,TODO
Wrexham,665,St Giles Controlled Primary School,"Nursery, Infants & Juniors",English medium,6653055,01978 318880,Madeira Hill +Wrexham+++LL13 7DG,371.0,TODO,TODO,TODO
Wrexham,665,Bronington Church In Wales V.A,"Nursery, Infants & Juniors",English medium,6653301,01948 780283,School Lane+Bronington+Whitchurch+Wrexham+SY13 3HN,45.0,TODO,TODO,TODO
Wrexham,665,Madras Va School,"Nursery, Infants & Juniors",English medium,6653305,01978 710419,Penley+Wrexham+++LL13 0LU,120.0,TODO,TODO,TODO
Wrexham,665,St Chad's Church In Wales Aided School,"Nursery, Infants & Juniors",English medium,6653326,01948 830238,Hanmer+Whitchurch+Wrexham++SY13 3DG,98.0,TODO,TODO,TODO
Wrexham,665,St Mary's Rc Primary,"Nursery, Infants & Juniors",English medium,6653334,01978 352406,Lea Road+Wrexham+++LL13 7NA,357.0,TODO,TODO,TODO
Wrexham,665,Minera,"Nursery, Infants & Juniors",English medium,6653337,01978 269500,Minera Hall Road+Minera+Wrexham++LL11 3YE,107.0,TODO,TODO,TODO
Wrexham,665,All Saints Voluntary Aided Sch,"Nursery, Infants & Juniors",English medium,6653338,01978 852342,School Hill+Gresford+Wrexham++LL12 8RW,326.0,TODO,TODO,TODO
Wrexham,665,St Mary's Church In Wales,"Nursery, Infants & Juniors",English medium,6653341,01978 820979,Park Street+Ruabon+Wrexham++LL14 6LE,215.0,TODO,TODO,TODO
Wrexham,665,Brymbo Aided (St. Mary's),"Nursery, Infants & Juniors",English medium,6653342,01978 722970,Ael y Bryn+Brymbo+Wrexham++LL11 5DA,143.0,TODO,TODO,TODO
Wrexham,665,St Anne's Catholic Primary,"Nursery, Infants & Juniors",English medium,6653343,01978 261623,Prince Charles Road+Wrexham+++LL13 8TH,174.0,TODO,TODO,TODO
Wrexham,665,St Mary's Overton,"Nursery, Infants & Juniors",English medium,6653346,01978 710370,School Lane+Overton On Dee+Wrexham++LL13 0ES,151.0,TODO,TODO,TODO
Wrexham,665,St Paul's Voluntary Aided,"Nursery, Infants & Juniors",English medium,6653347,01978 661556,Bowling Bank+Isycoed+Wrexham++LL13 9RL,43.0,TODO,TODO,TODO
Wrexham,665,Grango,Secondary (ages 11-16),English medium,6654029,01978 833010,Vinegar Hill+Rhos+Wrexham++LL14 1EL,554.0,TODO,TODO,TODO
Wrexham,665,Ysgol Morgan Llwyd,Secondary (ages 11-19),Welsh medium,6654032,01978 315050,Ffordd Cefn+Wrecsam+++LL13 9NG,870.0,TODO,TODO,TODO
Wrexham,665,Ysgol Bryn Alyn,Secondary (ages 11-16),English medium,6654033,01978 720700,Church Street+Gwersyllt+Wrexham++LL11 4HB,676.0,TODO,TODO,TODO
Wrexham,665,Darland High School,Secondary (ages 11-16),English medium,6654034,01244 570588,Chester Road+Rossett+Wrexham++LL12 0DL,765.0,TODO,TODO,TODO
Wrexham,665,Ysgol Rhiwabon,Secondary (ages 11-19),English medium,6654044,01978 822392,Ruabon+Wrexham+++LL14 6BT,536.0,TODO,TODO,TODO
Wrexham,665,Rhosnesni High School,Secondary (ages 11-16),English medium,6654048,01978 340840,Rhosnesni Lane+Wrexham+++LL13 9ET,1032.0,TODO,TODO,TODO
Wrexham,665,Ysgol Clywedog,Secondary (ages 11-16),English medium,6654049,01978 346800,Ruthin Road+Wrexham+++LL13 7UB,830.0,TODO,TODO,TODO
Wrexham,665,St Joseph's Catholic And Anglican High,Secondary (ages 11-16),English medium,6654603,01978 360310,Sontley Road+Wrexham+++LL13 7EN,721.0,TODO,TODO,TODO
Wrexham,665,The Maelor School,Secondary (ages 11-19),English medium,6655401,01948 830291,Penley+Wrexham+++LL13 0LU,800.0,TODO,TODO,TODO
Wrexham,665,St Christophers School,Special (with post-16 provision),Not applicable,6657005,01978 346910,Stockwell Grove+Wrexham+++LL13 7BW,270.0,TODO,TODO,TODO
Powys,666,Abermule Primary School,"Nursery, Infants & Juniors",English medium,6662002,01686 630240,Abermule+Montgomery+Powys++SY15 6ND,76.0,TODO,TODO,TODO
Powys,666,Arddleen C.P. School,"Nursery, Infants & Juniors",English medium,6662003,01938 590445,Arddleen+Llanymynech+Powys++SY22 6RT,114.0,TODO,TODO,TODO
Powys,666,Berriew C.P. School,"Nursery, Infants & Juniors",English medium,6662005,01686 640312,Berriew+Welshpool+Powys++SY21 8BA,100.0,TODO,TODO,TODO
Powys,666,Caersws C.P. School,"Nursery, Infants & Juniors",English medium,6662008,01686 688458,Maesawelon+Caersws+Powys++SY17 5HG,84.0,TODO,TODO,TODO
Powys,666,Ysgol Gynradd Carno,"Nursery, Infants & Juniors",Welsh medium,6662009,01686 420209,Carno+Y Drenewydd+Powys++SY17 5LH,46.0,TODO,TODO,TODO
Powys,666,Carreghofa C.P. School,"Nursery, Infants & Juniors",English medium,6662010,01691 830396,Llanymynech+Powys+++SY22 6PA,114.0,TODO,TODO,TODO
Powys,666,Leighton C.P. School,"Nursery, Infants & Juniors",English medium,6662018,01938 553261,Leighton+Welshpool+Powys++SY21 8HH,73.0,TODO,TODO,TODO
Powys,666,Ysgol Llanbrynmair,"Nursery, Infants & Juniors",Welsh medium,6662019,01650 521339,Llanbrynmair+Powys+++SY19 7DJ,41.0,TODO,TODO,TODO
Powys,666,Llandinam C.P. School,"Nursery, Infants & Juniors",English medium,6662020,01686 688457,Llandinam+Powys+++SY17 5BY,42.0,TODO,TODO,TODO
Powys,666,Meifod C.P. School,"Nursery, Infants & Juniors",English medium,6662033,01938 500300,Meifod+Powys+++SY22 6DF,63.0,TODO,TODO,TODO
Powys,666,Penygloddfa C.P. School,"Nursery, Infants & Juniors",English medium,6662040,01686 626715,School Lane+++Newtown+SY16 2DF,285.0,TODO,TODO,TODO
Powys,666,Ysgol Pontrobert,"Nursery, Infants & Juniors",Welsh medium,6662041,01938 500394,Meifod+Powys+++SY22 6JN,57.0,TODO,TODO,TODO
Powys,666,Ysgol Dyffryn Trannon,"Nursery, Infants & Juniors",Dual Stream,6662044,01686 430644,Trefeglwys+Newtown+Powys++SY17 5PH,101.0,TODO,TODO,TODO
Powys,666,Guilsfield C.P. School,"Nursery, Infants & Juniors",English medium,6662049,01938 553979,Guilsfield+Nr Welshpool+Powys++SY21 9ND,179.0,TODO,TODO,TODO
Powys,666,Llanidloes C.P. School,"Nursery, Infants & Juniors",English medium,6662050,01686 412603,Llangurig Road+Llanidloes+Powys++SY18 6EX,280.0,TODO,TODO,TODO
Powys,666,Buttington Trewern C.P. School,"Nursery, Infants & Juniors",English medium,6662051,01938 570283,Buttington+Welshpool+Powys++SY21 8TB,147.0,TODO,TODO,TODO
Powys,666,Brynhafren C.P. School,Infants & Juniors,English medium,6662053,01743 884455,Bryn Hafren+++Shrewsbury+SY5 9BJ,31.0,TODO,TODO,TODO
Powys,666,Churchstoke C.P. School,"Nursery, Infants & Juniors",English medium,6662054,01588 620330,Churchstoke+Montgomery+Powys++SY15 6AA,47.0,TODO,TODO,TODO
Powys,666,Ysgol Gynradd Glantwymyn,"Nursery, Infants & Juniors",Welsh medium,6662058,01650 511394,Cemmaes Road+Machynlleth+Powys++SY20 8LX,73.0,TODO,TODO,TODO
Powys,666,Ysgol Pennant,"Nursery, Infants & Juniors",Welsh medium,6662059,01691 860326,Penybont Fawr+Oswestry+Salop++SY10 0PD,77.0,TODO,TODO,TODO
Powys,666,Maesyrhandir C.P. School,"Nursery, Infants & Juniors",English medium,6662060,01686 626337,Newtown+Powys+++SY16 1LH,118.0,TODO,TODO,TODO
Powys,666,Treowen C.P. School,"Nursery, Infants & Juniors",English medium,6662062,01686 627569,Newtown+Powys+++SY16 1NH,114.0,TODO,TODO,TODO
Powys,666,Franksbridge C.P. School,"Nursery, Infants & Juniors",English medium,6662066,01982 570275,Franksbridge+Llandrindod Wells+Powys++LD1 5SA,44.0,TODO,TODO,TODO
Powys,666,Llanbister C.P. School,"Nursery, Infants & Juniors",English medium,6662068,01597 840258,Llanbister+Llandrindod Wells+Powys++LD1 6TN,60.0,TODO,TODO,TODO
Powys,666,Ysgol Cefnllys,"Nursery, Infants & Juniors",English medium,6662070,01597 822297,Cefnllys Lane+Llandrindod Wells+Powys++LD1 5WA,213.0,TODO,TODO,TODO
Powys,666,Presteigne C.P. School,"Nursery, Infants & Juniors",English medium,6662075,01544 267422,Slough Road+Presteigne+Powys++LD8 2NH,169.0,TODO,TODO,TODO
Powys,666,Radnor Valley C.P. School,"Nursery, Infants & Juniors",English medium,6662076,01544 350203,New Radnor+Presteigne+Powys++LD8 2SS,49.0,TODO,TODO,TODO
Powys,666,Crossgates C.P. School,"Nursery, Infants & Juniors",English with significant Welsh,6662077,01597 851667,Crossgates+Llandrindod Wells+Powys++LD1 6RE,123.0,TODO,TODO,TODO
Powys,666,Mount Street C.P. Junior,Juniors,English medium,6662079,01874 622262,Brecon+Powys+++LD3 7LU,174.0,TODO,TODO,TODO
Powys,666,Mount Street C.P. Infants,Nursery & Infants,English medium,6662080,01874 623038,Rhosferig Road+Brecon+Powys++LD3 7NG,143.0,TODO,TODO,TODO
Powys,666,Ysgol Dolafon,"Nursery, Infants & Juniors",English with significant Welsh,6662084,01591 610326,Llanwrtyd Wells+Powys+++LD5 4RA,58.0,TODO,TODO,TODO
Powys,666,Builth Wells C.P. School,"Nursery, Infants & Juniors",Dual Stream,6662089,01982 553600,Hospital Road+Builth Wells+Powys++LD2 3GA,209.0,TODO,TODO,TODO
Powys,666,Sennybridge C.P. School,"Nursery, Infants & Juniors",Dual Stream,6662092,01874 636268,Sennybridge+++Brecon+LD3 8RS,118.0,TODO,TODO,TODO
Powys,666,Crickhowell C.P. School,"Nursery, Infants & Juniors",English medium,6662113,01873 810300,Crickhowell+Powys+++NP8 1DY,200.0,TODO,TODO,TODO
Powys,666,Cradoc C.P. School,"Nursery, Infants & Juniors",English medium,6662115,01874 622555,Cradoc+Brecon+Powys++LD3 9LR,102.0,TODO,TODO,TODO
Powys,666,Hay-on-Wye C.P. School,"Nursery, Infants & Juniors",English medium,6662116,01497 820339,Oxford Road+Hay-On-Wye+Powys++HR3 5BT,175.0,TODO,TODO,TODO
Powys,666,Llangynidr C.P. School,"Nursery, Infants & Juniors",English medium,6662117,01874 730681,Llangynidr+Crickhowell+Powys++NP8 1NY,110.0,TODO,TODO,TODO
Powys,666,Irfon Valley C.P. School,"Nursery, Infants & Juniors",English medium,6662122,01591 620281,Garth+Llangammarch Wells+Powys++LD4 4AT,43.0,TODO,TODO,TODO
Powys,666,Llanfaes C.P. School,"Nursery, Infants & Juniors",English medium,6662125,01874 623326,Beilihelig Road+Llanfaes+Brecon+Powys+LD3 8EB,219.0,TODO,TODO,TODO
Powys,666,Ysgol y Bannau,"Nursery, Infants & Juniors",Welsh medium,6662127,01874 622207,Penlan+Aberhonddu+Powys++LD3 9SR,108.0,TODO,TODO,TODO
Powys,666,Ysgol Rhiw Bechan,"Nursery, Infants & Juniors",Dual Stream,6662129,01686 650303,Tregynon+Powys+++SY16 3EH,169.0,TODO,TODO,TODO
Powys,666,Llanrhaeadr Ym Mochnant C.P. School,"Nursery, Infants & Juniors",Dual Stream,6662146,01691 780352,Llanrhaeadr Ym Mochnant+Oswestry+Salop++SY10 0LG,79.0,TODO,TODO,TODO
Powys,666,Ysgol Bro Cynllaith,"Nursery, Infants & Juniors",English medium,6662147,01691 791365,Llansilin+Oswestry+Salop++SY10 7QB,27.0,TODO,TODO,TODO
Powys,666,Ysgol Dafydd Llwyd,"Nursery, Infants & Juniors",Welsh medium,6662148,01686 622162,Plantation Lane+Newtown+Powys++SY16 1JE,183.0,TODO,TODO,TODO
Powys,666,Ysgol y Cribarth,"Nursery, Infants & Juniors",Dual Stream,6662149,01639 731500,School Road+Abercrave+Swansea++SA9 1XD,145.0,TODO,TODO,TODO
Powys,666,Ysgol Golwg y Cwm,"Nursery, Infants & Juniors",English medium,6662150,01639 846070,Hendreladus+Ystradgynlais+Powys++SA9 1SE,215.0,TODO,TODO,TODO
Powys,666,Ysgol Bro Tawe,"Nursery, Infants & Juniors",English medium,6662151,01639 846000,Ffordd yr Afon+Ystradgynlais+Swansea++SA9 1BU,205.0,TODO,TODO,TODO
Powys,666,Ysgol Gymraeg Dyffryn y Glowyr,"Nursery, Infants & Juniors",Welsh medium,6662152,01639 846060,Bethel Road+Lower Cwmtwrch+Swansea++SA9 2PT,407.0,TODO,TODO,TODO
Powys,666,Ysgol y Mynydd Du,"Nursery, Infants & Juniors",English medium,6662153,01874 712860,School Road+Talgarth+Powys++LD3 0DQ,106.0,TODO,TODO,TODO
Powys,666,Ysgol Gymraeg y Trallwng,"Nursery, Infants & Juniors",Welsh medium,6662154,01938 552005,YSGOL GYMRAEG Y TRALLWNG+HOWELL DRIVE+WELSHPOOL+POWYS+SY21 7AT,89.0,TODO,TODO,TODO
Powys,666,Ysgol Calon y Dderwen,"Nursery, Infants & Juniors",English medium,6662155,01686 626303,Ysgol Calon y Dderwen+Park Street+Newton++SY16 1EG,230.0,TODO,TODO,TODO
Powys,666,Llanfechain C.I.W. School,"Nursery, Infants & Juniors",English medium,6663000,01691 828537,Llanfechain+Powys+++SY22 6UQ,34.0,TODO,TODO,TODO
Powys,666,Montgomery C.I.W. School,"Nursery, Infants & Juniors",English medium,6663002,01686 668387,Montgomery+Powys+++SY15 6QA,111.0,TODO,TODO,TODO
Powys,666,Forden C.I.W. School,"Nursery, Infants & Juniors",English medium,6663016,01938 580334,Forden+Welshpool+Powys++SY21 8NE,61.0,TODO,TODO,TODO
Powys,666,Llandysilio C.I.W. School,"Nursery, Infants & Juniors",English medium,6663021,01691 830339,Four Crosses+Llanymynech+Powys++SY22 6RB,59.0,TODO,TODO,TODO
Powys,666,Gladestry C.I.W. School,"Nursery, Infants & Juniors",English medium,6663026,01544 370207,Gladestry+Kington+Herefordshire++HR5 3NR,40.0,TODO,TODO,TODO
Powys,666,Ysgol Trefonnen Church in Wales Community Primary,"Nursery, Infants & Juniors",Dual Stream,6663030,01597 822190,Trefonnen Lane+Llandrindod Wells+Powys++LD1 5EB,207.0,TODO,TODO,TODO
Powys,666,Newbridge-On-Wye Church In Wales School,"Nursery, Infants & Juniors",English medium,6663031,01597 860273,Newbridge on Wye+Llandrindod Wells+Powys++LD1 6LD,113.0,TODO,TODO,TODO
Powys,666,Clyro C.I.W. School,"Nursery, Infants & Juniors",English medium,6663033,01497 820860,Clyro+Via Hereford+++HR3 5LE,81.0,TODO,TODO,TODO
Powys,666,Knighton C.I.W. School,"Nursery, Infants & Juniors",English medium,6663035,01547 528691,Knighton+Powys+++LD7 1HP,200.0,TODO,TODO,TODO
Powys,666,Rhayader C.I.W. School,"Nursery, Infants & Juniors",Dual Stream,6663036,01597 810288,Bryntirion+Rhayader+Powys++LD6 5LT,239.0,TODO,TODO,TODO
Powys,666,Llanelwedd Church In Wales Primary School,"Nursery, Infants & Juniors",English medium,6663037,01982 552616,Llanelwedd+Builth Wells+Powys++LD2 3TY,108.0,TODO,TODO,TODO
Powys,666,Llangedwyn C In W Primary School,"Nursery, Infants & Juniors",English medium,6663046,01691 780264,Llangedwyn++Oswestry+Salop+SY10 9LD,13.0,TODO,TODO,TODO
Powys,666,Llangors C.I.W. School,"Nursery, Infants & Juniors",English medium,6663050,01874 658663,Llangorse+Brecon+Powys++LD3 7TR,160.0,TODO,TODO,TODO
Powys,666,Welshpool Church in Wales Primary School,"Nursery, Infants & Juniors",English medium,6663051,01938 552971,Severn Road+Welshpool+Powys++SY21 7AT,296.0,TODO,TODO,TODO
Powys,666,St. Michael's C.I.W. School,"Nursery, Infants & Juniors",English medium,6663301,01686 670208,Kerry+Newtown+Powys++SY16 4NP,100.0,TODO,TODO,TODO
Powys,666,Llansantffraid C In W School,"Nursery, Infants & Juniors",English medium,6663303,01691 828539,Treflan+Llansantffraid+Powys++SY22 6AE,123.0,TODO,TODO,TODO
Powys,666,Archdeacon Griffiths C.I.W. Primary School,"Nursery, Infants & Juniors",English medium,6663317,01874 754334,Llyswen+Brecon+Powys++LD3 0YB,157.0,TODO,TODO,TODO
Powys,666,Priory Church In Wales School,"Nursery, Infants & Juniors",English medium,6663318,01874 623549,Pendre Close+Brecon+Powys++LD3 9EU,159.0,TODO,TODO,TODO
Powys,666,St Mary`s R.C. (A) School,"Nursery, Infants & Juniors",English medium,6663320,01686 625582,Milford Road+Newtown+Powys++SY16 2EH,64.0,TODO,TODO,TODO
Powys,666,Llangattock C.I.W. School,"Nursery, Infants & Juniors",English medium,6663322,01873 810608,Llangattock+Crickhowell+Powys++NP8 1PH,112.0,TODO,TODO,TODO
Powys,666,Ysgol Cwm Banwy,"Nursery, Infants & Juniors",Welsh medium,6663323,01938 820226,Llangadfan School++Banwy C P School+Llangadfan Welshpool+SY21 0NW,45.0,TODO,TODO,TODO
Powys,666,Llanidloes High School,Secondary (ages 11-19),English with significant Welsh,6664002,01686 412289,Llanidloes+Powys+++SY18 6EX,702.0,TODO,TODO,TODO
Powys,666,Newtown High School,Secondary (ages 11-19),English medium,6664011,01686 626304,Dolfor Road+Newtown+Powys++SY16 1JE,964.0,TODO,TODO,TODO
Powys,666,Welshpool High School,Secondary (ages 11-19),English medium,6664013,01938 552014,Salop Road+Welshpool+Powys++SY21 7RE,794.0,TODO,TODO,TODO
Powys,666,Ysgol Maesydderwen,Secondary (ages 11-19),English medium,6664021,01639 842115,Tudor Street+Ystradgynlais+Swansea++SA9 1AP,536.0,TODO,TODO,TODO
Powys,666,Brecon High School,Secondary (ages 11-19),English with significant Welsh,6664022,01874 622361,Penlan+Brecon+Powys++LD3 9SR,559.0,TODO,TODO,TODO
Powys,666,Gwernyfed High School,Secondary (ages 11-19),English medium,6664023,01497 847445,Three Cocks+Brecon+Powys++LD3 0SG,530.0,TODO,TODO,TODO
Powys,666,Crickhowell High School,Secondary (ages 11-19),English medium,6664024,01873 813500,New Road+Crickhowell+Powys++NP8 1AW,953.0,TODO,TODO,TODO
Powys,666,Ysgol Calon Cymru,Secondary (ages 11-19),Bilingual (Type A),6664025,01982 553292,College Road++Builth Wells+Powys+LD2 3BW,1015.0,TODO,TODO,TODO
Powys,666,Ysgol Bro Hyddgen,Middle (ages 4-19),Bilingual (Type A),6665500,01654 704200,Machynlleth+Powys+++SY20 8DR,441.0,TODO,TODO,TODO
Powys,666,Ysgol Llanfyllin,Middle (ages 4-19),Bilingual (Type C),6665501,01691 648391,Llanfyllin High School++Llanfyllin School+Llanfyllin+SY22 5BJ,777.0,TODO,TODO,TODO
Powys,666,Ysgol Bro Caereinion,Middle (ages 4-19),Bilingual (Type B),6665502,,Llanfair Caereinion+Welshpool+Powys++SY21 0HW,572.0,TODO,TODO,TODO
